iter	Passed	Remaining
0	1	136
1	2	106
2	2	96
3	3	87
4	4	83
5	5	83
6	6	80
7	6	78
8	7	77
9	8	75
10	9	73
11	9	72
12	10	70
13	11	69
14	11	67
15	12	67
16	13	66
17	14	65
18	15	64
19	15	63
20	16	62
21	17	61
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	22	54
29	22	53
30	23	52
31	24	51
32	25	51
33	26	50
34	26	49
35	27	48
36	28	48
37	29	47
38	30	46
39	30	46
40	31	45
41	32	44
42	32	43
43	33	42
44	34	41
45	34	40
46	35	40
47	36	39
48	36	38
49	37	37
50	38	36
51	39	36
52	39	35
53	40	34
54	40	33
55	41	32
56	42	31
57	42	31
58	43	30
59	44	29
60	45	28
61	45	28
62	46	27
63	47	26
64	48	25
65	48	25
66	49	24
67	50	23
68	50	22
69	51	22
70	52	21
71	53	20
72	53	19
73	54	19
74	55	18
75	55	17
76	56	16
77	57	16
78	58	15
79	58	14
80	59	13
81	60	13
82	60	12
83	61	11
84	62	10
85	62	10
86	63	9
87	64	8
88	64	8
89	66	7
90	67	6
91	67	5
92	68	5
93	69	4
94	70	3
95	71	2
96	71	2
97	72	1
98	73	0
99	74	0
