CGPA,Resume_Score,Placed
6.78,6.92,0
7.12,7.05,0
6.45,6.31,0
7.33,7.82,0
6.91,6.74,0
7.84,7.11,0
6.62,6.59,0
7.25,7.28,0
6.88,6.97,0
7.15,7.81,0
6.54,6.81,0
7.41,7.36,0
6.89,6.84,0
7.02,7.88,0
6.87,6.63,0
7.89,7.87,0
6.83,6.71,0
7.80,7.83,0
6.58,6.49,0
7.36,7.81,0
6.81,6.65,0
7.18,7.89,0
6.84,6.54,0
7.27,7.84,0
6.89,6.88,0
7.75,7.02,0
6.73,6.67,0
7.39,7.84,0
6.56,6.39,0
7.71,7.19,0
6.95,7.81,1
7.42,7.36,1
6.81,6.78,1
7.58,7.49,1
7.73,6.94,1
7.67,7.61,1
6.92,6.85,1
7.51,7.45,1
7.74,7.08,1
7.72,7.69,1
6.86,6.77,1
7.63,7.58,1
7.76,6.99,1
7.79,7.71,1
6.98,6.91,1
7.55,7.52,1
7.78,7.82,1
7.84,7.76,1
6.89,6.82,1
7.69,7.64,1
7.01,6.96,1
7.57,7.83,1
6.93,6.87,1
7.76,7.68,1
7.61,7.86,1
7.62,7.86,1
6.85,6.79,1
7.81,7.83,1
7.64,6.98,1
7.66,7.59,1
6.74,6.89,0
7.68,7.13,0
6.67,6.61,0
7.22,7.26,0
6.59,6.52,0
7.31,7.35,0
6.82,6.76,0
7.67,7.21,0
6.63,6.56,0
7.68,7.33,0
6.96,6.93,1
7.46,7.41,1
7.09,7.93,1
7.71,7.66,1
6.88,6.83,1
7.54,7.48,1
